 10  2 28 17     -4.25    -18.53    185.26      0.00     26.35     -7.75    451.68     23.34     21.62     -0.25      0.95      0.00      0.00      0.00
 11  2 28 17     -4.75    -17.22    172.17      0.00     26.27     -7.75    451.68     23.34     21.62     -0.25      0.96      0.00      0.00      0.00
 12  2 28 17     -5.25    -15.98    159.85      0.00     26.19     -7.75    451.68     23.34     21.62     -0.25      0.96      0.00      0.00      0.00
 13  2 28 17     -5.75    -14.82    148.20      0.00     26.12     -7.75    451.68     23.34     21.62     -0.25      0.97      0.00      0.00      0.00
 14  2 28 17     -6.25    -13.71    137.14      0.00     26.04     -7.75    451.68     23.34     21.62     -0.25      0.99      0.00      0.00      0.00
 15  2 28 17     -6.75    -12.65    126.51      0.00     25.12     -7.75    451.68     23.34     21.62     -0.25      1.00      0.00      0.00      0.00
 16  2 28 17     -7.25    -11.60    116.03      0.00     23.38     -7.75    451.68     23.34     21.62     -0.25      1.03      0.00      0.00      0.00
 17  2 28 17     -7.75    451.68    105.37      0.00     21.62     -7.75    451.68     23.34     21.62     -0.25      1.07      0.00      0.00      0.00
 18  2 28 17     -8.25     -9.43     94.30      0.00     19.88     -7.75    451.68     23.34     21.62     -0.25      1.13      0.00      0.00      0.00
 19  2 28 17     -8.75     -8.27     82.67      0.00     18.97     -7.75    451.68     23.34     21.62     -0.25      1.22      0.00      0.00      0.00
 20  2 28 17     -9.25     -7.06     70.57      0.00     18.92     -7.75    451.68     23.34     21.62     -0.25      1.36      0.00      0.00      0.00
 21  2 28 17     -9.75     -5.83     58.30      0.00     18.87     -7.75    451.68     23.34     21.62     -0.25      1.58      0.00      0.00      0.00
 22  2 28 17    -10.25     -4.63     46.30      0.00     18.82     -7.75    451.68     23.34     21.62     -0.25      1.92      0.00      0.00      0.00
 23  2 28 17    -10.75     -3.52     35.21      0.00     18.76     -7.75    451.68     23.34     21.62     -0.25      2.45      0.00      0.00      0.00
 24  2 28 17    -11.25     -2.59     25.87      0.00     18.71     -7.75    451.68     23.34     21.62     -0.25      3.27      0.00      0.00      0.00
 25  2 28 17    -11.75     -1.91     19.09      0.00     18.66     -7.75    451.68     23.34     21.62     -0.25      4.35      0.00      0.00      0.00
 26  2 28 17    -12.25     -1.52     15.15      0.00     18.61     -7.75    451.68     23.34     21.62     -0.25      5.38      0.00      0.00      0.00
 27  2 28 17    -12.75     -1.35     13.49      0.00     18.55     -7.75    451.68     23.34     21.62     -0.25      5.97      0.00      0.00      0.00
 28  2 28 17    -13.25   -127.12   1271.24      0.00     18.50     -7.75    451.68     23.34     21.62     -0.25      6.13      0.00      0.00      0.00
  1  2 29 17      0.25      0.00      0.00      0.00     26.96     -7.75    457.41     23.27     21.62     -0.25      0.00      0.00-846945.21      0.00
  2  2 29 17     -0.25      0.00       NaN       NaN     26.96     -7.75    457.41     23.27     21.62     -0.25       NaN       NaN      0.00       NaN
  3  2 29 17     -0.75    -30.00    300.02      0.00     26.88     -7.75    457.41     23.27     21.62     -0.25      6.10      0.00      0.00      0.00
